Generation BestFit MeanFit BestFitMA MeanFitMA
308 3588.300828 14889.264841 3600.1348405999906 15421.094649033303
309 3568.29306 14114.486217 3598.4248866999906 15404.771345366637
310 3599.993815 14252.765606 3599.5720814333235 15263.386057733303
311 3590.458349 17594.557776 3599.19144599999 15310.469371366637
312 3565.997374 16693.959098 3596.653620333323 15441.778579133304
313 3664.90866 15995.590895 3597.5951928333229 15433.344761333305
314 3656.340696 11785.385084 3602.2188633999895 15347.514678033303
315 3626.866708 14357.018212 3605.1459303333231 15421.60303299997
316 3680.918091 18486.838374 3607.3881160666565 15511.565624499972
317 3582.316866 14539.90968 3606.1547042666562 15483.795018066636
318 3551.904658 14220.68498 3604.7213748666559 15478.935932199971
319 3643.987311 15284.642813 3605.7271898333224 15729.647837099972
320 3633.48085 15592.352282 3604.7568276333227 15583.854649066639
321 42140.594016 16495.689959 4889.24632209999 15652.882614499973
322 3609.840809 15758.978546 4889.7138446999888 15660.628952033307
323 3562.262643 17829.755344 4886.3675755999884 15659.832908033308
324 3596.220072 13938.956744 4887.0182151999888 15584.875948833309
325 3633.519238 13199.127881 4884.6528258666558 15549.826559733308
326 3583.823527 13420.628334 4883.0152388999895 15486.885002933308
327 3626.230292 16522.452555 4883.4549383333224 15447.329219299976
328 3562.455986 13208.586146 4881.7460759666556 15407.660287966642
329 3710.942026 15610.732944 4885.7649131666558 15458.103845999976
330 3586.874537 19038.955995 4885.8300743999889 15615.646471433311
331 3601.678085 18691.979956 4884.7126806333226 15777.318584966644
332 3634.241345 13260.664782 4886.905203833322 15700.33650733331
333 3350.223498 16618.659347 4879.7084596333234 15642.386355233311
334 3532.112541 11614.348347 4877.0610632333237 15470.618774966646
335 3594.129631 13776.199141 4878.03122599999 15257.192591466644
336 3608.459054 18002.994518 4880.87542039999 15298.562134533309
337 3615.515926 15045.516943 4883.4296830666563 15328.05611133331
338 3524.89783 15433.588523 4881.3162497999892 15346.200234066642
339 3633.811319 17726.783544 4883.5001917666559 15466.610144966642
340 3602.562137 17225.400065 4883.58580249999 15565.697960266642
341 3647.011348 16066.862797 4885.4709024666563 15514.774794299974
342 3494.130353 13314.241212 4883.0753350999894 15402.117531433307
343 3579.111995 14523.793869 4880.2154462666567 15353.057630566642
344 3584.917881 19667.858299 4877.8346857666575 15615.806737733308
345 3620.155485 20546.608023 4877.6109783333241 15822.126398099974
346 3625.768188 13262.811811 4875.7726482333237 15647.992179333309
347 3575.939027 16092.781412 4875.5600535999893 15699.754570399975
348 3584.265479 16373.139226 4876.6387476333221 15771.503045266641
349 3603.460046 14419.107413 4875.287838799989 15742.651865266642
350 3614.473309 14246.710649 4874.654254099989 15697.797144166641
351 3576.344344 17301.847593 3589.1792650333223 15724.669065299975
352 3674.839661 20377.516827 3591.3458934333225 15878.620341333308
353 3596.066816 14391.716947 3592.4726991999896 15764.019061433308
354 3632.801881 14240.833717 3593.6920928333229 15774.081627199974
355 3659.197357 12449.401925 3594.5480301333232 15749.090761999974
356 3637.336328 13876.51482 3596.3317901666569 15764.286978199973
357 3624.649084 14500.29241 3596.2790832333239 15696.881640033305
358 3586.791316 14406.311366 3597.0902608999904 15736.805814033305
359 3584.091479 13443.95253 3592.8619093333236 15664.579800233305
360 3617.528873 15144.962041 3593.8837205333239 15534.780001766638
361 3529.627357 14037.644921 3591.4820295999903 15379.635500599972
362 3639.992928 15530.903142 3591.6737490333239 15455.310112599973
363 3591.676338 9990.537 3599.722177033324 15234.372701033306
364 3424.767992 15503.343346 3596.1440253999904 15364.005867666639
365 3604.08781 15885.97476 3596.47596469999 15434.331721633305
366 3559.417287 11983.246403 3594.8412391333236 15233.673451133307
